‘„«—Â	œ«‰‘òœÂ	—‘ Â	Ã‰”Ì 	”«· Ê—Êœ	„⁄œ·	”Ê«· 1	”Ê«· 2	”Ê«· 3	”Ê«· 4	”Ê«· 5	”Ê«· 6	”Ê«· 7	”Ê«· 8	”Ê«· 9	”Ê«· 10	”Ê«· 11	”Ê«· 12	”Ê«· 13	”Ê«· 14	”Ê«· 15	”Ê«· 16	”Ê«· 17	”Ê«· 18	”Ê«· 19	”Ê«· 20	”Ê«· 21	”Ê«· 22	‰„—Â œ«‰‘ê«Â
1	«œ»Ì« 	⁄—»Ì	„—œ	95	17	5	4	5	3	4	3	3	2	4	3	3	1	3	4	3	3	3	4	3	4	4	3	8
2	«œ»Ì« 	⁄—»Ì	„—œ	93	19.5	4	1	5	4	4	2	4	1	2	4	3	1	4	1	2	2	2	4	3	2	2	2	9
3	«œ»Ì« 	⁄—»Ì	„—œ	95	18.25	5	5	5	4	4	5	5	3	5	4	5	3	4	5	4	4	3	4	4	4	3	4	9
4	«œ»Ì« 	çÌ‰Ì	“‰	93	16	3	2	3	4	4	5	2	1	2	5	5	1	2	1	2	5	5	3	4	3	3	1	6
5	«œ»Ì« 	›—«‰”ÊÌ	„—œ	95	17	2	4	4	3	4	4	2	1	5	4	4	1	4	2	2	3	3	3	3	4	3	2	7
6	«œ»Ì« 	›—«‰”ÊÌ	„—œ	95	14	4	4	5	5	5	5	4	2	4	3	4	1	2	4	3	3	5	4	4	3	4	4	8
7	«œ»Ì« 	—Ê”Ì	“‰	91		4	3	4	3	4	4	4	4	4	3	4	4	4	3	4	3	3	3	4	4	4	4	7
8	«œ»Ì« 	«‰ê·Ì”Ì	„—œ	92	16	4	2	4	3	2	3	1	1	3	3	4	3	4	1	4	4	3	2	3	3	3	1	7
9	«œ»Ì« 	»«” «‰ ‘‰«”Ì	“‰	94		4	5	4	1	5	5	4	1	4	5	5	1	3	1	4	1	5	2	3	4	1	1	7
10	«œ»Ì« 	›—«‰”ÊÌ	“‰	95	16	2	4	4	3	5	5	5	4	4	4	5	5	5	4	3	4	4	3	4	4	5	5	9
11	«œ»Ì« 	—Ê”Ì	“‰	93	18	2	2	3	3	3	3	4	1	3	4	5	3	3	1	1	2	2	3	3	3	3	1	5
12	«œ»Ì« 	—Ê”Ì	“‰	92	18	3	1	2	4	4	3	1	3	4	4	5	2	2	1	2	1	2	2	2	4	2	1	6
13	«œ»Ì« 	—Ê”Ì	“‰	93	17.85	3	2	4	4	3	4	4	3	3	4	3	4	4	1	1	4	2	1	1	4	3	2	6
14	«œ»Ì« 	⁄—»Ì	“‰	95		4	2	3	2	2	3	1	1	3	4	4	1	4	1	2	2	3	2	2	3	2	2	1
15	«œ»Ì« 	⁄—»Ì	„—œ	95	17.25	2	2	4	2	1	4	1	1	2	2	5	2	5	2	4	4	4	2	4	4	4	1	8
